local,total_cases
2020-06-02,46.0
2020-06-04,46.0
2020-06-05,46.0
2020-06-08,46.0
2020-06-11,46.0
2020-06-13,46.0
2020-06-15,46.0
2020-06-18,46.0
2020-06-19,46.0
2020-06-22,46.0
2020-06-23,47.0
2020-06-24,48.0
2020-06-29,49.0
2020-06-30,49.0
2020-07-02,50.0
2020-07-06,52.0
2020-07-07,53.0
2020-07-14,56.0
2020-07-16,59.0
2020-07-20,64.0
2020-07-22,67.0
2020-07-27,69.0
2020-07-28,71.0
2020-07-29,73.0
2020-08-03,80.0
2020-08-05,82.0
2020-08-06,83.0
2020-08-10,88.0
2020-08-14,90.0
2020-08-17,92.0
2020-08-20,92.0
2020-08-21,93.0
2020-08-24,93.0
2020-08-25,94.0
2020-08-26,95.0
2020-08-31,96.0
2020-09-04,97.0
2020-09-09,100.0
2020-09-11,102.0
2020-09-14,102.0
2020-09-15,105.0
2020-09-16,105.0
2020-09-17,105.0
2020-09-22,127.0
2020-09-23,132.0
2020-09-25,222.0
2020-09-28,230.0
2020-09-30,232.0
2020-10-01,232.0
2020-10-02,235.0
2020-10-05,238.0
2020-10-08,238.0
2020-10-12,231.0
2020-10-13,233.0
2020-10-15,234.0
2020-10-22,237.0
2020-10-23,239.0
2020-10-26,243.0
2020-10-27,245.0
2020-10-28,245.0
2020-10-30,254.0
2020-11-02,268.0
2020-11-03,271.0
2020-11-05,278.0
2020-11-06,284.0
2020-11-09,292.0
2020-11-10,293.0
2020-11-12,293.0
2020-11-13,301.0
2020-11-16,309.0
2020-11-17,309.0
2020-11-18,314.0
2020-11-19,323.0
2020-11-23,332.0
2020-11-24,343.0
2020-11-25,362.0
2020-11-30,362.0
2020-12-01,390.0
2020-12-02,390.0
2020-12-03,400.0
2020-12-07,410.0
2020-12-08,427.0
2020-12-09,440.0
2020-12-10,444.0
2020-12-11,458.0
2020-12-14,468.0
2020-12-15,473.0
2020-12-16,485.0
